,datetime,tweet_Id,text,Username
69,2022-03-25 07:22:39+00:00,1507256634430607391,"Na this kind rain, #HorribleBosses go use as excuse take hammer some persons today for work. 😅😅😅",full____option
70,2022-03-25 07:20:01+00:00,1507255968693899270,"On Monday, a Twitter space was hosted to discuss horrible bosses and toxic workplaces in Nigeria. While it wasn’t surprising that many people had a lot to say, it is important we understand why this is quite common in Nigeria.
#horriblebosses #toxicworkplace #toxicboss",LukeOlaniyi
71,2022-03-25 07:19:41+00:00,1507255884820402208,"Over this #HorribleBosses issue, one thing I can confirm; 

I TREAT MY STAFFS WELL, and none of them on here knows this is my handle!

It actually costs nothing to be good to people, but when you as the principal have a bad day(which is normal), best is just to smoke a blunt!",AyodaboKolade
72,2022-03-25 07:07:14+00:00,1507252752358985761,"You guys should start this horrible bosses thing on the island( Balogun market) make Una do am as survey just as wole wole used to go for sanitations, Una eye and ear go full come back. One pompous madam will think she has the right to belittle her workers #horriblebosses",avosuasi
73,2022-03-25 07:03:41+00:00,1507251861232963592,"You guys think you know what an horrible boss is? Have you worked as a sales girl or boy on the island? Salary that is barely enough, make mistake sale one cloth below, you’ll pay the balance no matter how much it is. Sales girls in Balogun market are trying.  #HorribleBosses",avosuasi
74,2022-03-25 07:02:43+00:00,1507251616298192917,Nigerian Music industry won’t share there #horriblebosses experience . 🤣 😂 😂. You people think you’ve heard worse.,ChiillinBoi
75,2022-03-25 06:59:35+00:00,1507250827215392793,"#horriblebosses It’s not called seizing 🤦🏼🙆🏻‍♀️. When you are on set, they either tell you to turn off your phones or put it on silent cos of the sound effect. In other cases, as e be say Nigerians they like test person, they as you to tender it till the shoot is over.",avosuasi
76,2022-03-25 06:55:05+00:00,1507249696707858438,What's funny is toxic people carry the #horriblebosses topic on their heads 😂😂😂,IGOshomah
77,2022-03-25 06:50:46+00:00,1507248608923500546,"Just try to speak up, I mean just be a little bit assertive, boom you are seen as a threat and Salary will be deducted, you dare not speak up. Still on the #HorribleBosses #horribleworkplace #ToxicWorkplaces #Toxicbosses  trend",NoraObaze
78,2022-03-25 06:48:05+00:00,1507247934206791682,"Salaries delayed for months, then you show up late for a day and boom salary will be slashed, salary that you are yet to receive #HorribleBosses #Toxicbosses",NoraObaze
79,2022-03-25 06:18:34+00:00,1507240507176632324,"The fact that this is seen as normal, 😳, shocked me to my bone,some bosses are insane but this country will never allow you  to see that #HorribleBosses",NoraObaze
80,2022-03-25 06:16:34+00:00,1507240002148782101,"Talk about manipulation, a work place that drains people, remove their self worth and reduce their self-esteem, people have to take this shit anyways cos the country is fucked up, talk about a boss that beats up their staff  #toxicboss #toxicworkplace #HorribleBosses",NoraObaze
81,2022-03-25 06:10:53+00:00,1507238573396873216,"Once worked in a private company where the HR is a lady, she lacks leadership skills and human management, staff welfare is zero,high servicer to the core, Her choice of words is like the venom of a serpent, couldn't wait to leave and so glad I did,#HorribleBosses #HorribleBosses",NoraObaze
82,2022-03-25 06:06:22+00:00,1507237436648308737,@NonsoBassey @_AbdulTJ In time. Right now it’s the turn of #horriblebosses,SargeMix
83,2022-03-25 06:00:00+00:00,1507235835770552324,"34 Highly Impactful Quotes From The 7 Habits of Highly Effective People

https://t.co/6DXlFUr5pk

#HorribleBosses #workplacewellness  Peter Obi Ghana",Chyzob
84,2022-03-25 05:45:32+00:00,1507232191692034058,Aviation...Loading o !🙌#HorribleBosses,roimikay
85,2022-03-25 04:21:18+00:00,1507210995906842624,"A lot of our problems are caused by unmerited &amp; exploitative ""wins"" which have had heavy consequences for others. An example is the #HorribleBosses thing we've been on all week. The butterfly effect of ""success"" from bad leadership is very severe. No end justifies that means. https://t.co/p0EXoh7iQ5",Proverse
86,2022-03-24 23:46:27+00:00,1507141826372898821,"Unproductive employee will say his/her boss is toxic.
Rent and NEPA bill owing tenant will say his/her landlord is toxic.

#HorribleBosses",unimkeabana
87,2022-03-24 23:13:59+00:00,1507133656325926919,"What’s the Plura of Straff ?? 
#Ronaldo #CR7𓃵 #PORTUR #HorribleBosses",just_Teeto
88,2022-03-24 23:12:14+00:00,1507133215147974670,"So 5k Na Im dem wan pay extra today for Obara m set even after the #HorribleBosses trend 

Na wa o",CHIMEFRANCIS1
89,2022-03-24 23:01:28+00:00,1507130506877751296,So people are finally gaining the courage to call out their #horriblebosses and we still have typical Nigerian idiots saying they should have quit or that they are chasing clout……God please help this country. Thank you.,FrostedPotatoe
90,2022-03-24 22:46:28+00:00,1507126732867919883,"I can’t forget an organization that would make it’s staffs be you a lawyer, a master’s holder carry bags of rices, switch on generator or go on office space haunt like it’s part of your job role, I have seen most of its staffs self esteem messed with #HorribleBosses",Eddy_charliee
91,2022-03-24 22:38:32+00:00,1507124735674654723,@CowSwapTeam #HorribleBosses https://t.co/9utG5aQwtk,ali86348977
